SalesOrderID,Customer,TotalAmount,CaseKey,Product,ShippingCondition,DeliveryDatePassed
SO001,C013,5880,SOI1,P129,Express,1
SO001,C013,5880,SOI2,P131,Express,0
SO001,C013,5880,SOI3,P117,Express,1
SO002,C015,7710,SOI4,P112,Standard,0
SO002,C015,7710,SOI5,P128,Express,0
SO002,C015,7710,SOI6,P119,Standard,0
SO003,C001,3240,SOI7,P118,Standard,0
SO003,C001,3240,SOI8,P117,Standard,0
SO004,C004,13500,SOI9,P132,Standard,0
SO005,C002,1500,SOI10,P132,Express,0
SO006,C004,10750,SOI11,P132,Standard,1
SO006,C004,10750,SOI12,P122,Express,0
SO007,C005,9640,SOI13,P134,Express,1
SO007,C005,9640,SOI14,P128,Standard,0
SO007,C005,9640,SOI15,P116,Express,1
SO008,C002,23200,SOI16,P132,Express,1
SO008,C002,23200,SOI17,P122,Express,0
SO008,C002,23200,SOI18,P132,Standard,0
SO009,C009,10000,SOI19,P133,Express,0
SO010,C005,6750,SOI20,P122,Express,0
SO010,C005,6750,SOI21,P130,Express,1
SO010,C005,6750,SOI22,P122,Standard,1
SO011,C003,15000,SOI23,P132,Standard,1
SO011,C003,15000,SOI24,P132,Express,1
SO012,C005,250,SOI25,P128,Express,0
SO013,C004,6350,SOI26,P100,Express,0
SO013,C004,6350,SOI27,P128,Standard,0
SO013,C004,6350,SOI28,P127,Express,1
SO014,C009,26950,SOI29,P134,Express,0
SO014,C009,26950,SOI30,P122,Express,0
SO014,C009,26950,SOI31,P100,Standard,1
SO014,C009,26950,SOI32,P133,Standard,0
SO015,C008,4120,SOI33,P129,Standard,1
SO015,C008,4120,SOI34,P106,Express,0
SO015,C008,4120,SOI35,P105,Express,1
SO015,C008,4120,SOI36,P122,Express,0
SO016,C009,8670,SOI37,P118,Express,0
SO016,C009,8670,SOI38,P134,Express,0
SO016,C009,8670,SOI39,P122,Express,0
SO016,C009,8670,SOI40,P108,Express,1
SO017,C002,4000,SOI41,P130,Standard,0
SO017,C002,4000,SOI42,P114,Standard,0
SO018,C012,6300,SOI43,P134,Express,0
SO018,C012,6300,SOI44,P129,Standard,1
SO019,C001,4800,SOI45,P131,Standard,0
SO020,C005,13500,SOI46,P132,Standard,0
SO021,C015,21520,SOI47,P101,Standard,0
SO021,C015,21520,SOI48,P101,Standard,0
SO021,C015,21520,SOI49,P108,Express,0
SO021,C015,21520,SOI50,P130,Express,1
SO022,C015,12000,SOI51,P119,Standard,0
SO022,C015,12000,SOI52,P123,Express,1
SO022,C015,12000,SOI53,P134,Express,0
SO022,C015,12000,SOI54,P123,Express,0
SO023,C005,3710,SOI55,P122,Standard,0
SO023,C005,3710,SOI56,P117,Standard,0
SO024,C008,5100,SOI57,P118,Standard,1
SO024,C008,5100,SOI58,P109,Standard,0
SO025,C011,6460,SOI59,P134,Express,0
SO025,C011,6460,SOI60,P117,Standard,1
SO026,C015,10500,SOI61,P134,Standard,0
SO026,C015,10500,SOI62,P134,Standard,0
SO026,C015,10500,SOI63,P133,Express,0
SO027,C010,18900,SOI64,P133,Standard,0
SO027,C010,18900,SOI65,P122,Standard,0
SO027,C010,18900,SOI66,P100,Standard,1
SO028,C009,3060,SOI67,P117,Express,1
SO028,C009,3060,SOI68,P108,Express,1
SO028,C009,3060,SOI69,P122,Express,1
SO029,C008,2250,SOI70,P128,Express,1
SO030,C009,1500,SOI71,P132,Express,0
SO031,C004,8400,SOI72,P119,Standard,0
SO031,C004,8400,SOI73,P100,Express,0
SO031,C004,8400,SOI74,P127,Standard,1
SO031,C004,8400,SOI75,P122,Express,0
SO032,C015,3560,SOI76,P117,Express,1
SO032,C015,3560,SOI77,P132,Express,0
SO033,C015,15950,SOI78,P129,Standard,0
SO033,C015,15950,SOI79,P122,Express,1
SO033,C015,15950,SOI80,P130,Express,0
SO033,C015,15950,SOI81,P133,Standard,0
SO034,C009,6000,SOI82,P130,Standard,0
SO035,C010,18390,SOI83,P134,Standard,0
SO035,C010,18390,SOI84,P112,Standard,1
